time;latitude;longitude;velocity
2025-08-23T14:47:25.822Z;47.5853358;8.29221;8.24
2025-08-23T14:47:30.806Z;47.5849776;8.2921171;8.75
2025-08-23T14:47:35.806Z;47.5845694;8.292015;8.47
2025-08-23T14:47:40.817Z;47.5842188;8.2919608;6.94
2025-08-23T14:47:45.807Z;47.5838929;8.2918767;7.83
2025-08-23T14:47:50.811Z;47.5834972;8.2917159;10.44
2025-08-23T14:47:55.822Z;47.5831299;8.2914815;7.5
2025-08-23T14:48:00.814Z;47.5828827;8.2914112;4.96
2025-08-23T14:48:05.809Z;47.58266;8.291046;8.96
2025-08-23T14:48:10.807Z;47.5823356;8.2905048;12.46
2025-08-23T14:48:15.812Z;47.5820195;8.2897734;13.55
2025-08-23T14:48:20.806Z;47.5817937;8.2889177;14.74
2025-08-23T14:48:25.807Z;47.5816393;8.2879338;15.88
2025-08-23T14:48:30.807Z;47.5815732;8.2868872;16.74
2025-08-23T14:48:35.809Z;47.5814658;8.2857591;17.36
2025-08-23T14:48:40.805Z;47.58125;8.2846493;17.71
2025-08-23T14:48:45.808Z;47.5809682;8.28353;17.8
2025-08-23T14:48:50.807Z;47.5807262;8.2824431;17.91
2025-08-23T14:48:55.807Z;47.5805886;8.2812937;17.88
2025-08-23T14:49:00.812Z;47.5803057;8.2802982;16.13
2025-08-23T14:49:05.821Z;47.5796663;8.2799595;16.05
2025-08-23T14:49:10.805Z;47.5789643;8.2802363;16.44
2025-08-23T14:49:15.806Z;47.5782419;8.2801514;16.88
2025-08-23T14:49:20.812Z;47.5777023;8.279379;17.19
2025-08-23T14:49:24.807Z;47.5774179;8.2785827;17.52
2025-08-23T14:49:25.810Z;47.5773489;8.2783903;17.13
2025-08-23T14:49:30.814Z;47.576963;8.2774993;15.6
2025-08-23T14:49:35.813Z;47.5763264;8.2772445;16.3
2025-08-23T14:49:40.807Z;47.5755889;8.277531;16.25
2025-08-23T14:49:45.805Z;47.574882;8.2776497;14.86
2025-08-23T14:49:50.815Z;47.5742595;8.2780159;15.35
2025-08-23T14:49:55.818Z;47.5737133;8.2787558;17.38
2025-08-23T14:50:00.807Z;47.5733512;8.2798829;19.3
2025-08-23T14:50:05.805Z;47.5731558;8.2812229;20.41
2025-08-23T14:50:10.814Z;47.5728923;8.2825416;20.6
2025-08-23T14:50:15.814Z;47.5723076;8.2837271;22.24
2025-08-23T14:50:20.806Z;47.5714961;8.2846522;23.38
